country,year,unemploy,satisfaction
Albania,2005,,2.814849
Albania,2009,13.8,
Argentina,2003,16.1,
Argentina,2005,10.6,
Argentina,2007,8.5,
Argentina,2009,8.6,
Armenia,2007,28.4,
Australia,2007,4.4,1.940765
Austria,2002,4,
Austria,2006,4.7,
Austria,2008,3.8,2.198774
Bangladesh,2008,,
Bolivia,2002,5.4,
Bolivia,2005,5.4,
Bolivia,2009,,
Brazil,2002,9.1,2.945736
Brazil,2006,8.4,2.617473
Bulgaria,2001,19.9,3.156581
Bulgaria,2005,10.1,
Bulgaria,2009,6.8,
Canada,2000,6.8,
Canada,2004,7.2,2.236921
Canada,2006,6.3,
Canada,2008,6.1,
Chile,2001,9.1,
Chile,2005,8,2.304422
Chile,2009,9.7,
Colombia,2002,14.6,
Colombia,2006,10.5,
Costa Rica,2002,6.4,
Costa Rica,2006,6,
Croatia,2003,13.9,
Croatia,2007,9.6,3.044057
Czech Republic,2002,7.3,2.617442
Czech Republic,2006,7.1,2.611557
Denmark,2001,4.2,1.727817
Denmark,2005,4.8,
Denmark,2007,3.8,
Dominican Republic,2002,16.1,
Dominican Republic,2006,16.4,
Ecuador,2002,10.7,
Ecuador,2006,7.7,
Ecuador,2009,6.5,
El Salvador,2006,6.6,
El Salvador,2009,7.3,
Fiji,2001,,
Fiji,2006,,
Finland,2003,9,2.265758
Finland,2007,6.8,2.192247
France,2002,8.7,2.486842
France,2007,8,2.29784
Georgia,2004,12.6,
Georgia,2008,16.5,
Germany,2002,8.6,
Germany,2005,11.1,2.486594
Germany,2009,7.7,2.528571
Ghana,2000,10.4,
Ghana,2004,,
Ghana,2008,,
Greece,2000,11.1,
Greece,2004,10.5,
Greece,2007,8.3,
Greece,2009,9.5,
Guatemala,2003,2.8,
Guatemala,2007,,
Hungary,2006,7.5,
Iceland,2003,3.4,2.291429
Iceland,2007,2.3,2.258877
Iceland,2009,7.2,2.74159
India,2004,4.4,
India,2009,,
Indonesia,1999,6.3,
Indonesia,2004,9.9,
Indonesia,2009,7.9,
Ireland,2002,4.2,2.100554
Ireland,2007,4.6,2.112737
Israel,2003,10.7,2.736486
Israel,2006,8.4,2.878992
Israel,2009,7.5,
Italy,2001,9.6,
Italy,2006,6.8,2.742351
Italy,2008,6.7,
Japan,2003,5.2,2.306834
Japan,2005,4.4,2.552711
Japan,2009,5,
Latvia,2002,13.2,
Latvia,2006,6.8,
Lithuania,2000,15.9,
Lithuania,2004,11.3,
Lithuania,2008,5.8,
Luxembourg,1999,2.4,
Luxembourg,2004,5.1,
Luxembourg,2009,5.1,
Malaysia,1999,3.4,
Malaysia,2004,3.5,
Malaysia,2008,3.3,
Mexico,2003,3,2.866597
Mexico,2006,3.2,2.642071
Mexico,2009,5.2,2.653796
Moldova,2001,7.3,
Moldova,2005,7.3,
Moldova,2009,6.4,
Mongolia,2008,,
Morocco,2002,11.6,
Morocco,2007,9.7,
Netherlands,2002,2.6,2.319588
Netherlands,2003,3.6,
Netherlands,2006,3.9,2.171183
New Zealand,2008,4.2,2.287948
Nicaragua,2001,6.4,
Nicaragua,2006,5.3,
Nigeria,2003,,
Nigeria,2007,,
Norway,2001,3.4,2.108081
Norway,2005,4.6,1.937845
Norway,2009,3.2,
Panama,2004,11.7,
Panama,2009,6.6,
Paraguay,2008,5.6,
Peru,2001,8.8,2.768812
Peru,2006,8.8,2.764797
Poland,2001,18.2,2.739485
Poland,2005,17.7,2.800736
Poland,2007,9.6,2.407966
Portugal,2002,5,2.566314
Portugal,2005,7.6,2.672593
Portugal,2009,9.5,2.814585
Romania,2000,7,
Romania,2004,7.7,2.588101
Romania,2008,5.8,
Senegal,2001,,
Senegal,2007,,
Sierra Leone,2007,,
Singapore,2001,2.9,
Singapore,2006,4.5,
Slovenia,2008,4.4,
South Africa,1999,25.4,
South Africa,2004,26.2,
South Africa,2009,23.8,
South Korea,2000,4.4,2.63
South Korea,2004,3.7,
South Korea,2008,3.2,
Spain,2000,13.9,1.90328
Spain,2004,11,2.179317
Spain,2008,11.3,
Sweden,2002,5.2,2.169866
Sweden,2006,7,2.053715
Switzerland,2003,4.1,2.15914
Switzerland,2007,3.6,2.073233
Taiwan,2004,,2.465217
Taiwan,2008,,2.476467
Turkey,2002,10.4,
Turkey,2007,10.3,
Ukraine,2002,9.6,
Ukraine,2006,6.8,
Ukraine,2007,6.4,
United Kingdom,2001,4.7,
United Kingdom,2005,4.6,2.238152
United States,2002,5.8,
United States,2004,5.5,2.033207
United States,2006,4.6,
United States,2008,5.8,
Uruguay,1999,11.3,
Uruguay,2004,13.1,
Uruguay,2009,7.3,
Vanuatu,2008,,
Venezuela,2000,13.2,
Venezuela,2005,11.4,
Zambia,2006,,
